avgfee,avgfeerate,avgtxsize,blockhash,height,ins,maxfee,maxfeerate,maxtxsize,medianfee,mediantime,mediantxsize,minfee,minfeerate,mintxsize,outs,subsidy,swtotal_size,swtotal_weight,swtxs,time,total_out,total_size,total_weight,totalfee,txs,utxo_increase,utxo_size_inc
"['  ""avgfee"": 4196,\n']","['  ""avgfeerate"": 5,\n']","['  ""avgtxsize"": 907,\n']","['  ""blockhash"": ""00000000000000000009a8a019a7e05cf9dd888543f8e1a5449dea200c3922f5"",\n']","['  ""height"": 703600,\n']","['  ""ins"": 917,\n']","['  ""maxfee"": 236385,\n']","['  ""maxfeerate"": 211,\n']","['  ""maxtxsize"": 46682,\n']","['  ""medianfee"": 722,\n']","['  ""mediantime"": 1633395640,\n']","['  ""mediantxsize"": 254,\n']","['  ""minfee"": 113,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 1045,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 57042,\n']","['  ""swtotal_weight"": 146115,\n']","['  ""swtxs"": 158,\n']","['  ""time"": 1633398665,\n']","['  ""total_out"": 52374292370,\n']","['  ""total_size"": 178693,\n']","['  ""total_weight"": 632719,\n']","['  ""totalfee"": 826721,\n']","['  ""txs"": 198,\n']","['  ""utxo_increase"": 128,\n']","['  ""utxo_size_inc"": 10130\n']"
"['  ""avgfee"": 6583,\n']","['  ""avgfeerate"": 15,\n']","['  ""avgtxsize"": 601,\n']","['  ""blockhash"": ""00000000000000000001dab19d08bf7a5a7dc350855eade998b75d6b74acff05"",\n']","['  ""height"": 703601,\n']","['  ""ins"": 6180,\n']","['  ""maxfee"": 2546496,\n']","['  ""maxfeerate"": 390,\n']","['  ""maxtxsize"": 102640,\n']","['  ""medianfee"": 1134,\n']","['  ""mediantime"": 1633396122,\n']","['  ""mediantxsize"": 226,\n']","['  ""minfee"": 167,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 9363,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 1051674,\n']","['  ""swtotal_weight"": 2598714,\n']","['  ""swtxs"": 1760,\n']","['  ""time"": 1633400115,\n']","['  ""total_out"": 3791679762926,\n']","['  ""total_size"": 1401057,\n']","['  ""total_weight"": 3996246,\n']","['  ""totalfee"": 15333187,\n']","['  ""txs"": 2330,\n']","['  ""utxo_increase"": 3183,\n']","['  ""utxo_size_inc"": 235899\n']"
"['  ""avgfee"": 1337,\n']","['  ""avgfeerate"": 3,\n']","['  ""avgtxsize"": 511,\n']","['  ""blockhash"": ""000000000000000000095b45b8b7acc4e928d7ee0a413fecede707b145d0238b"",\n']","['  ""height"": 703602,\n']","['  ""ins"": 4026,\n']","['  ""maxfee"": 100000,\n']","['  ""maxfeerate"": 597,\n']","['  ""maxtxsize"": 29747,\n']","['  ""medianfee"": 327,\n']","['  ""mediantime"": 1633397240,\n']","['  ""mediantxsize"": 283,\n']","['  ""minfee"": 110,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 187,\n']","['  ""outs"": 4495,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 578477,\n']","['  ""swtotal_weight"": 1462988,\n']","['  ""swtxs"": 1459,\n']","['  ""time"": 1633400239,\n']","['  ""total_out"": 2560378823140,\n']","['  ""total_size"": 837850,\n']","['  ""total_weight"": 2500480,\n']","['  ""totalfee"": 2191189,\n']","['  ""txs"": 1639,\n']","['  ""utxo_increase"": 469,\n']","['  ""utxo_size_inc"": 63565\n']"
"['  ""avgfee"": 4640,\n']","['  ""avgfeerate"": 12,\n']","['  ""avgtxsize"": 518,\n']","['  ""blockhash"": ""000000000000000000077ac614d0fa8f6ddd9bea05676d9c7d999308510f1f7d"",\n']","['  ""height"": 703603,\n']","['  ""ins"": 5778,\n']","['  ""maxfee"": 2546496,\n']","['  ""maxfeerate"": 371,\n']","['  ""maxtxsize"": 102579,\n']","['  ""medianfee"": 800,\n']","['  ""mediantime"": 1633397728,\n']","['  ""mediantxsize"": 247,\n']","['  ""minfee"": 110,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 7768,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 1064310,\n']","['  ""swtotal_weight"": 2674590,\n']","['  ""swtxs"": 2063,\n']","['  ""time"": 1633401249,\n']","['  ""total_out"": 3743004487423,\n']","['  ""total_size"": 1302513,\n']","['  ""total_weight"": 3627402,\n']","['  ""totalfee"": 11665765,\n']","['  ""txs"": 2515,\n']","['  ""utxo_increase"": 1990,\n']","['  ""utxo_size_inc"": 166873\n']"
"['  ""avgfee"": 5140,\n']","['  ""avgfeerate"": 18,\n']","['  ""avgtxsize"": 400,\n']","['  ""blockhash"": ""0000000000000000000bf192140431a034e0ee713a13355bc36d0ec516f16094"",\n']","['  ""height"": 703604,\n']","['  ""ins"": 537,\n']","['  ""maxfee"": 371800,\n']","['  ""maxfeerate"": 260,\n']","['  ""maxtxsize"": 10538,\n']","['  ""medianfee"": 864,\n']","['  ""mediantime"": 1633398608,\n']","['  ""mediantxsize"": 283,\n']","['  ""minfee"": 134,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 189,\n']","['  ""outs"": 889,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 102550,\n']","['  ""swtotal_weight"": 259522,\n']","['  ""swtxs"": 247,\n']","['  ""time"": 1633401367,\n']","['  ""total_out"": 107575540780,\n']","['  ""total_size"": 126069,\n']","['  ""total_weight"": 353598,\n']","['  ""totalfee"": 1619141,\n']","['  ""txs"": 316,\n']","['  ""utxo_increase"": 352,\n']","['  ""utxo_size_inc"": 29726\n']"
"['  ""avgfee"": 4112,\n']","['  ""avgfeerate"": 12,\n']","['  ""avgtxsize"": 513,\n']","['  ""blockhash"": ""0000000000000000000caabe1a99baa01f3502f4417a122efdcfc8eafd67031b"",\n']","['  ""height"": 703605,\n']","['  ""ins"": 2407,\n']","['  ""maxfee"": 488440,\n']","['  ""maxfeerate"": 341,\n']","['  ""maxtxsize"": 91475,\n']","['  ""medianfee"": 894,\n']","['  ""mediantime"": 1633398665,\n']","['  ""mediantxsize"": 254,\n']","['  ""minfee"": 141,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 187,\n']","['  ""outs"": 3292,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 475662,\n']","['  ""swtotal_weight"": 1137924,\n']","['  ""swtxs"": 849,\n']","['  ""time"": 1633401784,\n']","['  ""total_out"": 421218916941,\n']","['  ""total_size"": 554928,\n']","['  ""total_weight"": 1454988,\n']","['  ""totalfee"": 4445613,\n']","['  ""txs"": 1082,\n']","['  ""utxo_increase"": 885,\n']","['  ""utxo_size_inc"": 71491\n']"
"['  ""avgfee"": 3189,\n']","['  ""avgfeerate"": 9,\n']","['  ""avgtxsize"": 481,\n']","['  ""blockhash"": ""000000000000000000004497e2add84b8cd34734302932d5a7c87ed5f3b49f4d"",\n']","['  ""height"": 703606,\n']","['  ""ins"": 1104,\n']","['  ""maxfee"": 99900,\n']","['  ""maxfeerate"": 316,\n']","['  ""maxtxsize"": 25180,\n']","['  ""medianfee"": 765,\n']","['  ""mediantime"": 1633400115,\n']","['  ""mediantxsize"": 247,\n']","['  ""minfee"": 133,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 1582,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 194190,\n']","['  ""swtotal_weight"": 484560,\n']","['  ""swtxs"": 396,\n']","['  ""time"": 1633401997,\n']","['  ""total_out"": 215831862760,\n']","['  ""total_size"": 246265,\n']","['  ""total_weight"": 692860,\n']","['  ""totalfee"": 1629876,\n']","['  ""txs"": 512,\n']","['  ""utxo_increase"": 478,\n']","['  ""utxo_size_inc"": 38346\n']"
"['  ""avgfee"": 4185,\n']","['  ""avgfeerate"": 12,\n']","['  ""avgtxsize"": 498,\n']","['  ""blockhash"": ""0000000000000000000d68b32c7b7504f2b3b3ef8c66daa26098b9a43eb15349"",\n']","['  ""height"": 703607,\n']","['  ""ins"": 3319,\n']","['  ""maxfee"": 670700,\n']","['  ""maxfeerate"": 474,\n']","['  ""maxtxsize"": 38642,\n']","['  ""medianfee"": 707,\n']","['  ""mediantime"": 1633400239,\n']","['  ""mediantxsize"": 249,\n']","['  ""minfee"": 111,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 4457,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 611060,\n']","['  ""swtotal_weight"": 1502786,\n']","['  ""swtxs"": 1185,\n']","['  ""time"": 1633402646,\n']","['  ""total_out"": 3152777312958,\n']","['  ""total_size"": 734647,\n']","['  ""total_weight"": 1997134,\n']","['  ""totalfee"": 6173578,\n']","['  ""txs"": 1476,\n']","['  ""utxo_increase"": 1138,\n']","['  ""utxo_size_inc"": 98193\n']"
"['  ""avgfee"": 4537,\n']","['  ""avgfeerate"": 10,\n']","['  ""avgtxsize"": 553,\n']","['  ""blockhash"": ""0000000000000000000159ac5df1b8c86dc67d43949870500a1dd71aed1101cd"",\n']","['  ""height"": 703608,\n']","['  ""ins"": 558,\n']","['  ""maxfee"": 240000,\n']","['  ""maxfeerate"": 211,\n']","['  ""maxtxsize"": 34747,\n']","['  ""medianfee"": 856,\n']","['  ""mediantime"": 1633401249,\n']","['  ""mediantxsize"": 247,\n']","['  ""minfee"": 135,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 189,\n']","['  ""outs"": 1363,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 85053,\n']","['  ""swtotal_weight"": 219048,\n']","['  ""swtxs"": 193,\n']","['  ""time"": 1633402766,\n']","['  ""total_out"": 54711899928,\n']","['  ""total_size"": 143301,\n']","['  ""total_weight"": 452040,\n']","['  ""totalfee"": 1175112,\n']","['  ""txs"": 260,\n']","['  ""utxo_increase"": 805,\n']","['  ""utxo_size_inc"": 60485\n']"
"['  ""avgfee"": 4614,\n']","['  ""avgfeerate"": 10,\n']","['  ""avgtxsize"": 710,\n']","['  ""blockhash"": ""0000000000000000000403c53bd0a49264c41658030aa2cb81c248e7d801e6b3"",\n']","['  ""height"": 703609,\n']","['  ""ins"": 2250,\n']","['  ""maxfee"": 359260,\n']","['  ""maxfeerate"": 597,\n']","['  ""maxtxsize"": 50267,\n']","['  ""medianfee"": 900,\n']","['  ""mediantime"": 1633401367,\n']","['  ""mediantxsize"": 260,\n']","['  ""minfee"": 133,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 189,\n']","['  ""outs"": 2527,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 421254,\n']","['  ""swtotal_weight"": 969786,\n']","['  ""swtxs"": 575,\n']","['  ""time"": 1633403049,\n']","['  ""total_out"": 244325848387,\n']","['  ""total_size"": 508022,\n']","['  ""total_weight"": 1316858,\n']","['  ""totalfee"": 3299436,\n']","['  ""txs"": 716,\n']","['  ""utxo_increase"": 277,\n']","['  ""utxo_size_inc"": 25115\n']"
